Label,Page,Addr,NumBytes,RegOffset,RegScale,ReadLen,ReadFlag,WriteFlag,TwosCompl,Default,ReadProtected,WriteProtected,CalReg
BNKC_C17,3,36,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKC_C18,3,38,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKC_C19,3,40,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKC_C20,3,42,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKC_C21,3,44,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKC_C22,3,46,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKC_C23,3,48,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKC_C24,3,50,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKC_C25,3,52,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKC_C26,3,54,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKC_C27,3,56,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKC_C28,3,58,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKC_C29,3,60,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKC_C30,3,62,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKC_C31,3,64,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
PAGE,4,0,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKD_C0,4,2,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKD_C1,4,4,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKD_C2,4,6,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKD_C3,4,8,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKD_C4,4,10,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKD_C5,4,12,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
BNKD_C6,4,14,2,0,1,16,TRUE,TRUE,FALSE,none,FALSE,FALSE,FALSE
