Label,Page,Addr,NumBytes,RegOffset,RegScale,ReadLen,ReadFlag,WriteFlag,TwosCompl,PwPrtect,Default,CalReg,FLOAT
BNKB_C94,8,76,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C95,8,78,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C96,8,80,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C97,8,82,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C98,8,84,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C99,8,86,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C100,8,88,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C101,8,90,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C102,8,92,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C103,8,94,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C104,8,96,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C105,8,98,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C106,8,100,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C107,8,102,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C108,8,104,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C109,8,106,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C110,8,108,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C111,8,110,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C112,8,112,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C113,8,114,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C114,8,116,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C115,8,118,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C116,8,120,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C117,8,122,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C118,8,124,2,0,1,16,1,1,1,0,,0,TRUE
BNKB_C119,8,126,2,0,1,16,1,1,1,0,,0,TRUE
PAGE,9,0,2,0,1,16,1,1,0,0,,0,FALSE
BNKC_C0,9,8,2,0,1,16,1,1,1,0,,0,TRUE
BNKC_C1,9,10,2,0,1,16,1,1,1,0,,0,TRUE
BNKC_C2,9,12,2,0,1,16,1,1,1,0,,0,TRUE
BNKC_C3,9,14,2,0,1,16,1,1,1,0,,0,TRUE
BNKC_C4,9,16,2,0,1,16,1,1,1,0,,0,TRUE
BNKC_C5,9,18,2,0,1,16,1,1,1,0,,0,TRUE
BNKC_C6,9,20,2,0,1,16,1,1,1,0,,0,TRUE
BNKC_C7,9,22,2,0,1,16,1,1,1,0,,0,TRUE
BNKC_C8,9,24,2,0,1,16,1,1,1,0,,0,TRUE
BNKC_C9,9,26,2,0,1,16,1,1,1,0,,0,TRUE
BNKC_C10,9,28,2,0,1,16,1,1,1,0,,0,TRUE
BNKC_C11,9,30,2,0,1,16,1,1,1,0,,0,TRUE
BNKC_C12,9,32,2,0,1,16,1,1,1,0,,0,TRUE
